TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.Node,BRANCH,0.9219858156028369,141,130
org.jsoup.nodes.CDataNode,BRANCH,1.0,6,6
org.jsoup.nodes.Attribute,BRANCH,0.9322033898305084,59,55
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,15,15
org.jsoup.nodes.Comment,BRANCH,0.96,25,24
org.jsoup.nodes.Entities,BRANCH,0.7727272727272727,88,68
org.jsoup.nodes.DocumentType,BRANCH,1.0,28,28
org.jsoup.nodes.Attributes,BRANCH,0.8913043478260869,138,123
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.Document,BRANCH,0.8041237113402062,97,78
org.jsoup.nodes.TextNode,BRANCH,0.8913043478260869,46,41
org.jsoup.nodes.LeafNode,BRANCH,1.0,28,28
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.FormElement,BRANCH,0.6756756756756757,37,25
org.jsoup.nodes.NodeUtils,BRANCH,1.0,7,7
org.jsoup.nodes.Element,BRANCH,0.827027027027027,370,305
org.jsoup.safety.Whitelist,BRANCH,1.0,19,19
org.jsoup.safety.Cleaner,BRANCH,0.6857142857142857,35,24
org.jsoup.safety.Safelist,BRANCH,0.782051282051282,156,122
org.jsoup.UncheckedIOException,BRANCH,1.0,3,3
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.helper.HttpConnection,BRANCH,0.6388059701492538,335,211
org.jsoup.helper.CookieUtil,BRANCH,0.5714285714285714,21,12
org.jsoup.helper.Validate,BRANCH,1.0,27,27
org.jsoup.helper.DataUtil,BRANCH,0.4152542372881356,118,49
org.jsoup.helper.W3CDom,BRANCH,0.7777777777777778,54,42
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.NodeTraversor,BRANCH,0.9152542372881356,59,54
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,50,50
org.jsoup.select.Evaluator,BRANCH,0.927536231884058,207,192
org.jsoup.select.Collector,BRANCH,1.0,14,14
org.jsoup.select.Selector,BRANCH,1.0,18,18
org.jsoup.select.QueryParser,BRANCH,0.74375,160,119
org.jsoup.select.Elements,BRANCH,1.0,129,129
org.jsoup.Jsoup,BRANCH,0.8,20,16
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.parser.Token,BRANCH,1.0,103,103
org.jsoup.parser.ParseSettings,BRANCH,1.0,12,9
org.jsoup.parser.TreeBuilder,BRANCH,0.875,16,14
org.jsoup.parser.ParseError,BRANCH,1.0,5,5
org.jsoup.parser.Tag,BRANCH,0.8923076923076924,65,57
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.5947955390334573,269,160
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.8125,48,39
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.41150442477876104,1130,465
org.jsoup.parser.TokeniserState,BRANCH,0.45997610513739545,837,385
org.jsoup.parser.Parser,BRANCH,1.0,26,26
org.jsoup.parser.Tokeniser,BRANCH,0.7521367521367521,117,88
org.jsoup.parser.TokenQueue,BRANCH,0.9635036496350365,137,130
org.jsoup.parser.CharacterReader,BRANCH,0.9514925373134329,268,255
org.jsoup.parser.ParseErrorList,BRANCH,1.0,7,7
org.jsoup.internal.Normalizer,BRANCH,1.0,6,6
org.jsoup.internal.StringUtil,BRANCH,0.97,100,96
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.9,40,36
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,39
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
org.jsoup.HttpStatusException,BRANCH,1.0,3,3
